Question,Answer
What are your working hours?,We are open from 9 AM to 6 PM, Monday to Friday.
How can I contact support?,You can email us at support@example.com or call +91-9876543210.
Do you offer refunds?,Yes, we offer refunds within 30 days of purchase with proof of payment.
Where are you located?,Our office is in Hyderabad, India.
What payment methods do you accept?,We accept credit cards, debit cards, UPI, and net banking.
Can I change my order after placing it?,Yes, please contact support within 24 hours to modify your order.
How long will delivery take?,Delivery usually takes 3-5 business days within India.
Do you ship internationally?,Yes, we ship to select countries. Please check our shipping policy for details.
Is my payment secure?,Yes, we use encrypted payment gateways to ensure your security.
Can I track my order?,Yes, you will receive a tracking link once your order is shipped.
Do you offer bulk discounts?,Yes, we offer special discounts for bulk orders. Contact sales for details.
Can I cancel my order?,Yes, you can cancel before it is shipped. Please contact support as soon as possible.
What is your return policy?,Products can be returned within 30 days if unused and in original packaging.
Do you have a physical store?,Yes, we have showrooms in Hyderabad and Bangalore.
Are your products under warranty?,Yes, most products have a 1-year manufacturer warranty.
How do I apply a discount code?,You can enter your discount code during checkout in the promo code field.
Do you provide installation services?,Yes, installation services are available for select p
